#datum;m_txx;m_txxd;m_txa;m_dtx0;m_dtx25;m_dtx30;m_dtx35
1923-05;33.5;1923-05-31;24.3;0;15;3;0
1923-06;31.7;1923-06-01;21.4;0;5;1;0
1923-07;34.2;1923-07-15;28.4;0;24;11;0
1923-08;35.6;1923-08-11;28.6;0;27;10;2
1923-09;33.8;1923-09-01;24.5;0;12;4;0
1923-10;27.0;1923-10-02;20.5;0;3;0;0
1923-11;17.8;1923-11-07;11.2;0;0;0;0
1923-12;12.2;1923-12-01;4.2;9;0;0;0
1924-01;8.5;1924-01-21;0.9;13;0;0;0
1924-02;7.7;1924-02-03;1.9;5;0;0;0
1924-03;18.8;1924-03-25;9.2;1;0;0;0
1924-04;23.2;1924-04-26;14.9;0;0;0;0
1924-05;30.5;1924-05-25;23.5;0;16;2;0
1924-06;32.0;1924-06-01;24.7;0;12;3;0
1924-07;34.6;1924-07-05;26.7;0;19;7;0
1924-08;30.0;1924-08-08;24.4;0;14;1;0
1924-09;30.2;1924-09-25;24.5;0;13;1;0
1924-10;25.1;1924-10-05;16.6;0;1;0;0
1924-11;21.5;1924-11-04;8.0;1;0;0;0
1924-12;15.6;1924-12-03;2.8;13;0;0;0
1925-01;13.9;1925-01-04;4.4;7;0;0;0
1925-02;20.9;1925-02-15;11.1;0;0;0;0
1925-03;19.0;1925-03-25;9.8;0;0;0;0
1925-04;23.2;1925-04-25;17.6;0;0;0;0
1925-05;28.6;1925-05-31;21.9;0;8;0;0
1925-06;31.2;1925-06-02;23.0;0;8;3;0
1925-07;30.4;1925-07-25;26.4;0;24;4;0
1925-08;32.5;1925-08-24;26.2;0;18;5;0
1925-09;29.0;1925-09-24;19.9;0;5;0;0
1925-10;26.0;1925-10-03;17.6;0;3;0;0
1925-11;18.0;1925-11-04;9.3;2;0;0;0
1925-12;14.0;1925-12-23;2.7;12;0;0;0
1926-01;11.0;1926-01-01;2.9;9;0;0;0
1926-02;14.5;1926-02-22;9.3;0;0;0;0
1926-03;24.7;1926-03-30;10.1;0;0;0;0
1926-04;27.5;1926-04-24;18.2;0;2;0;0
1926-05;26.0;1926-05-01;20.6;0;4;0;0
1926-06;29.0;1926-06-13;22.1;0;6;0;0
1926-07;32.0;1926-07-20;25.0;0;19;2;0
1926-08;31.0;1926-08-17;24.4;0;12;2;0
1926-09;31.0;1926-09-07;24.0;0;16;3;0
1926-10;26.0;1926-10-30;18.1;0;1;0;0
1926-11;22.8;1926-11-01;16.8;0;0;0;0
1926-12;9.0;1926-12-31;3.8;4;0;0;0
1927-01;11.0;1927-01-04;5.1;2;0;0;0
1927-02;15.8;1927-02-28;4.9;2;0;0;0
1927-03;19.8;1927-03-22;13.7;0;0;0;0
1927-04;26.5;1927-04-30;16.8;0;2;0;0
1927-05;29.0;1927-05-31;20.9;0;5;0;0
1927-06;35.0;1927-06-18;28.0;0;22;14;1
1927-07;36.2;1927-07-09;29.4;0;28;15;2
1927-08;35.6;1927-08-03;28.0;0;22;14;2
1927-09;31.2;1927-09-25;23.5;0;10;1;0
1927-10;23.6;1927-10-29;16.1;0;0;0;0
1927-11;23.0;1927-11-10;10.8;0;0;0;0
1927-12;7.4;1927-12-27;-0.0;13;0;0;0
1928-01;9.6;1928-01-10;2.7;6;0;0;0
1928-02;15.3;1928-02-17;6.0;3;0;0;0
1928-03;20.5;1928-03-31;8.6;0;0;0;0
1928-04;27.0;1928-04-29;17.9;0;1;0;0
1928-05;24.9;1928-05-31;18.2;0;0;0;0
1928-06;34.0;1928-06-26;24.9;0;15;4;0
1928-07;38.2;1928-07-17;31.6;0;30;22;6
1928-08;35.9;1928-08-02;29.6;0;25;16;3
1928-09;33.8;1928-09-10;22.8;0;9;6;0
1928-10;23.3;1928-10-21;17.2;0;0;0;0
1928-11;22.6;1928-11-01;12.0;0;0;0;0
1928-12;10.6;1928-12-12;3.2;7;0;0;0
1929-01;3.8;1929-01-20;-1.2;21;0;0;0
1929-02;10.9;1929-02-26;-3.8;22;0;0;0
1929-03;15.4;1929-03-22;8.1;4;0;0;0
1929-04;24.7;1929-04-30;12.8;0;0;0;0
1929-05;28.2;1929-05-29;22.2;0;13;0;0
1929-06;31.7;1929-06-10;24.7;0;17;2;0
1929-07;35.2;1929-07-24;27.7;0;22;10;1
1929-08;35.2;1929-08-02;28.5;0;24;13;2
1929-09;32.7;1929-09-04;23.8;0;13;7;0
1929-10;26.6;1929-10-05;18.4;0;7;0;0
1929-11;18.8;1929-11-02;10.6;0;0;0;0
1929-12;14.8;1929-12-05;6.2;5;0;0;0
1930-01;9.8;1930-01-15;3.3;11;0;0;0
1930-02;14.8;1930-02-28;6.3;0;0;0;0
1930-03;20.5;1930-03-18;13.6;0;0;0;0
1930-04;26.3;1930-04-26;17.7;0;2;0;0
1930-05;30.3;1930-05-31;20.7;0;4;2;0
1930-06;33.5;1930-06-27;27.5;0;24;8;0
1930-07;33.9;1930-07-06;27.6;0;22;9;0
1930-08;30.3;1930-08-07;26.1;0;22;5;0
1930-09;29.6;1930-09-13;24.1;0;12;0;0
1930-10;22.2;1930-10-09;16.2;0;0;0;0
1930-11;19.4;1930-11-23;13.4;0;0;0;0
1930-12;12.9;1930-12-01;3.5;4;0;0;0
1931-01;11.1;1931-01-04;4.2;6;0;0;0
1931-02;10.4;1931-02-20;3.8;4;0;0;0
1931-03;17.4;1931-03-22;6.9;1;0;0;0
1931-04;21.4;1931-04-27;14.4;0;0;0;0
1931-05;30.0;1931-05-29;24.0;0;14;1;0
1931-06;32.9;1931-06-18;27.7;0;22;8;0
1931-07;37.6;1931-07-15;29.9;0;27;14;4
1931-08;36.8;1931-08-07;27.6;0;23;10;2
1931-09;30.0;1931-09-04;17.6;0;6;1;0
1931-10;24.7;1931-10-07;15.9;0;0;0;0
1931-11;20.2;1931-11-14;8.5;0;0;0;0
1931-12;14.2;1931-12-07;3.4;10;0;0;0
1932-01;10.7;1932-01-07;1.6;18;0;0;0
1932-02;7.7;1932-02-04;0.1;15;0;0;0
1932-03;10.4;1932-03-31;3.8;4;0;0;0
1932-04;23.1;1932-04-05;15.7;0;0;0;0
1932-05;29.9;1932-05-22;22.4;0;10;0;0
1932-06;29.8;1932-06-21;23.5;0;11;0;0
1932-07;33.7;1932-07-08;28.5;0;29;9;0
1932-08;33.4;1932-08-02;28.2;0;25;11;0
1932-09;31.6;1932-09-10;27.2;0;24;6;0
1932-10;27.6;1932-10-02;17.4;0;3;0;0
1932-11;16.9;1932-11-04;8.7;0;0;0;0
1932-12;14.6;1932-12-03;2.4;15;0;0;0
1933-01;6.4;1933-01-31;-0.7;16;0;0;0
1933-02;12.8;1933-02-07;5.4;1;0;0;0
1933-03;22.6;1933-03-31;12.2;0;0;0;0
1933-04;22.4;1933-04-30;13.2;0;0;0;0
1933-05;24.5;1933-05-08;19.0;0;0;0;0
1933-06;29.3;1933-06-22;22.9;0;4;0;0
1933-07;37.1;1933-07-16;27.8;0;22;12;1
1933-08;36.2;1933-08-12;27.4;0;20;9;2
1933-09;27.6;1933-09-22;22.4;0;8;0;0
1933-10;26.8;1933-10-01;16.9;0;2;0;0
1933-11;17.8;1933-11-18;9.3;0;0;0;0
1933-12;7.5;1933-12-31;-1.5;19;0;0;0
1934-01;8.9;1934-01-19;1.4;12;0;0;0
1934-02;17.7;1934-02-27;5.9;4;0;0;0
1934-03;20.0;1934-03-26;14.9;0;0;0;0
1934-04;29.2;1934-04-18;20.8;0;9;0;0
1934-05;29.3;1934-05-02;24.6;0;17;0;0
1934-06;31.7;1934-06-25;24.1;0;10;2;0
1934-07;32.4;1934-07-21;27.3;0;24;8;0
1934-08;33.8;1934-08-04;27.7;0;26;7;0
1934-09;28.5;1934-09-29;24.2;0;15;0;0
1934-10;27.3;1934-10-04;16.2;0;5;0;0
1934-11;18.0;1934-11-06;11.6;0;0;0;0
1934-12;13.1;1934-12-15;7.7;0;0;0;0
1935-01;6.6;1935-01-25;-0.5;17;0;0;0
1935-02;14.2;1935-02-22;5.3;7;0;0;0
1935-03;20.0;1935-03-21;9.4;2;0;0;0
1935-04;25.3;1935-04-11;16.7;0;1;0;0
1935-05;28.6;1935-05-28;20.8;0;7;0;0
1935-06;38.0;1935-06-28;27.9;0;20;12;1
1935-07;34.4;1935-07-18;28.1;0;24;11;0
1935-08;33.7;1935-08-14;27.1;0;22;7;0
1935-09;30.2;1935-09-03;23.6;0;13;1;0
1935-10;28.7;1935-10-06;20.4;0;9;0;0
1935-11;19.4;1935-11-10;9.2;1;0;0;0
1935-12;12.7;1935-12-31;5.6;4;0;0;0
1936-01;16.8;1936-01-27;9.1;0;0;0;0
1936-02;13.8;1936-02-29;5.9;2;0;0;0
1936-03;23.5;1936-03-26;14.5;0;0;0;0
1936-04;23.4;1936-04-16;17.1;0;0;0;0
1936-05;26.8;1936-05-30;22.5;0;7;0;0
1936-06;31.6;1936-06-24;25.0;0;17;4;0
1936-07;37.0;1936-07-28;29.5;0;27;17;3
1936-08;31.1;1936-08-04;26.3;0;20;3;0
1936-09;31.6;1936-09-04;22.4;0;13;4;0
1936-10;20.8;1936-10-18;11.5;0;0;0;0
1936-11;18.4;1936-11-08;8.6;5;0;0;0
1936-12;9.3;1936-12-16;4.0;2;0;0;0
1937-01;9.5;1937-01-05;1.4;10;0;0;0
1937-02;18.4;1937-02-28;6.3;2;0;0;0
1937-03;23.5;1937-03-20;12.9;0;0;0;0
1937-04;19.5;1937-04-15;14.9;0;0;0;0
1937-05;29.8;1937-05-22;24.1;0;16;0;0
1937-06;32.1;1937-06-11;26.3;0;19;2;0
1937-07;31.8;1937-07-24;26.9;0;23;4;0
1937-08;32.6;1937-08-13;26.3;0;19;5;0
1937-09;29.6;1937-09-18;24.0;0;13;0;0
1937-10;23.8;1937-10-04;17.0;0;0;0;0
1937-11;19.1;1937-11-02;8.9;0;0;0;0
1937-12;12.5;1937-12-10;4.5;8;0;0;0
1938-01;11.8;1938-01-25;3.6;8;0;0;0
1938-02;11.6;1938-02-28;6.5;0;0;0;0
1938-03;22.9;1938-03-22;14.8;0;0;0;0
1938-04;24.6;1938-04-03;13.9;0;0;0;0
1938-05;27.6;1938-05-17;19.9;0;2;0;0
1938-06;34.9;1938-06-28;27.7;0;25;8;0
1938-07;35.1;1938-07-09;28.9;0;28;11;1
1938-08;34.3;1938-08-03;26.7;0;22;8;0
1938-09;26.6;1938-09-10;22.2;0;4;0;0
1938-10;24.1;1938-10-11;17.7;0;0;0;0
1938-11;19.1;1938-11-07;11.4;0;0;0;0
1938-12;12.4;1938-12-02;2.1;10;0;0;0
1939-01;16.8;1939-01-19;6.4;3;0;0;0
1939-02;16.5;1939-02-12;7.9;0;0;0;0
1939-03;17.0;1939-03-31;8.1;0;0;0;0
1939-04;29.5;1939-04-08;20.9;0;6;0;0
1939-05;27.5;1939-05-19;20.7;0;2;0;0
1939-06;30.5;1939-06-26;25.8;0;16;3;0
1939-07;38.4;1939-07-22;29.7;0;27;16;3
1939-08;35.8;1939-08-05;27.9;0;24;7;2
1939-09;32.4;1939-09-02;23.7;0;14;4;0
1939-10;27.8;1939-10-18;15.1;0;2;0;0
1939-11;16.5;1939-11-10;9.0;0;0;0;0
1939-12;12.9;1939-12-01;3.2;5;0;0;0
1940-01;0.7;1940-01-01;-4.4;29;0;0;0
1940-02;11.0;1940-02-25;-0.1;13;0;0;0
1940-03;19.9;1940-03-27;8.4;1;0;0;0
1940-04;28.0;1940-04-24;16.9;0;6;0;0
1940-05;27.5;1940-05-25;18.8;0;4;0;0
1940-06;29.6;1940-06-16;24.2;0;16;0;0
1940-07;31.2;1940-07-08;26.1;0;20;5;0
1940-08;30.6;1940-08-11;23.4;0;11;2;0
1940-09;27.8;1940-09-08;22.6;0;11;0;0
1940-10;26.4;1940-10-03;16.3;0;2;0;0
1940-11;21.0;1940-11-15;12.3;0;0;0;0
1940-12;7.2;1940-12-09;-1.3;16;0;0;0
1941-01;12.1;1941-01-22;1.4;17;0;0;0
1941-02;13.5;1941-02-18;7.2;2;0;0;0
